Date,Open,tomo prediction,Dividends,Pos,prediction,last
2019-06-18,97.460508831951,1,0.0,0,1.0,1.0
2019-06-19,98.73499232390051,1,0.0,1,1.0,1.0
2019-06-20,98.92241357656006,1,0.0,0,1.0,1.0
2019-06-21,98.66940217210434,1,0.0,0,1.0,1.0
2019-06-24,98.39763309275196,1,0.0,0,1.0,1.0
2019-06-25,98.04153720220856,1,0.0,0,1.0,1.0
2019-06-26,97.64793239015293,1,0.0,0,1.0,1.0
2019-06-27,97.104410456976,1,0.0,1,1.0,1.0
2019-06-28,97.17938591324707,1,0.0,1,1.0,1.0
2019-07-02,98.39764341012608,1,0.0,1,1.0,1.0
2019-07-03,98.40699808657554,1,0.0,1,1.0,1.0
2019-07-05,98.67876652838352,1,0.0,0,1.0,1.0
2019-07-08,98.67877317795109,1,0.0,1,1.0,1.0
2019-07-09,98.39763404890724,1,0.0,0,1.0,1.0
2019-07-10,98.8662048864978,1,0.0,0,1.0,1.0
2019-07-11,98.49133725341274,1,0.0,0,1.0,1.0
2019-07-12,98.30391840328336,1,0.0,0,1.0,1.0
2019-07-15,97.91033452137528,1,0.0,1,1.0,1.0
2019-07-16,97.76038486327488,1,0.0,0,1.0,1.0
2019-07-17,97.71352805349493,1,0.0,1,1.0,1.0
2019-07-18,97.60108645394907,1,0.0,1,1.0,1.0
2019-07-19,98.12587272331949,1,0.0,0,1.0,1.0
2019-07-22,98.35077231196476,1,0.0,1,1.0,1.0
2019-07-23,98.39763550961752,1,0.0,1,1.0,1.0
2019-07-24,98.6958658224875,1,1.02,0,1.0,1.0
2019-07-25,99.12168384168707,1,0.0,1,1.0,1.0
